Class,,Observations 400s-1,,,,Aggr. Size 400s-1,,,PLT /µl,,,,62P+PAC1 /µl,,,
,0,20,120,300,0,20,120,300,0,20,120,300,0,20,120,300
1,0,1499,2155,2091,0,29,46,61,147160,129940,113200,92100,4208,21428,38168,59268
1,0,2001,2025,1756,0,28,65,85,235940,196800,182500,141440,4035,43175,57475,98535
1,0,1810,1905,1528,0,25,59,68,167220,141400,108240,100620,3127,28947,62107,69727
1,0,1537,1735,2172,0,27,46,55,164340,126340,101260,75260,5604,43604,68684,94684
1,0,1673,1659,1316,0,28,60,55,153640,120000,106520,96520,3181,36821,50301,60301
1,0,1104,1550,1749,0,28,51,58,112860,102060,87660,65200,1422,12222,26622,49082
1,0,1457,1650,1490,0,25,51,81,158160,140200,122940,107360,8414,26374,43634,59214
2,0,1022,2070,2313,0,26,56,46,163580,127980,74157.1428571429,79660,8816,44416,98238.8571428571,92736
2,0,1078,2138,2113,0,21,29,33,109860,93640,51000,49160,3593,19813,62453,64293
2,0,1568,1902,1998,0,28,46,59,159980,137520,74657.1428571429,71520,7743,30203,93065.8571428571,96203
2,0,1350,1977,2489,0,24,33,45,133600,123100,80907.1428571429,103440,4489,14989,57181.8571428571,34649
2,0,2108,2241,2024,0,26,52,63,209440,147780,90450,105480,19834,81494,138824,123794
2,0,1367,2770,2913,0,23,31,34,103200,60200,39121.4285714286,49340,4788,47788,68866.5714285714,58648
2,0,2474,2300,2342,0,27,41,46,206300,162520,93835.7142857143,100220,4683,48463,117147.285714286,110763
3,0,1551,2447,2551,0,24,38,58,145640,110880,71485.7142857143,89280,3233,37993,77387.2857142857,59593
3,0,2148,2060,2218,0,22,47,54,145600,119900,68192.8571428572,71040,7295,32995,84702.1428571428,81855
3,0,1619,1513,1475,0,23,33,50,117860,95680,59885.7142857143,72000,5103,27283,63077.2857142857,50963
3,0,1694,2649,1985,0,27,34,48,133660,105940,59150,59680,13286,41006,87796,87266
3,0,1528,1532,2153,0,24,31,38,115140,96080,58471.4285714286,67640,8175,27235,64843.5714285714,55675
3,0,1238,2355,2387,0,26,35,50,143860,125960,79864.2857142857,97660,12630,30530,76625.7142857143,58830
3,0,2054,1966,1719,0,25,43,53,118000,103220,67228.5714285714,85020,10431,25211,61202.4285714286,43411
3,0,1825,1983,1657,0,26,45,56,206880,166580,102935.714285714,121640,6165,46465,110109.285714286,91405
3,0,1758,1704,2087,0,23,42,48,136040,117020,68821.4285714286,75680,7768,26788,74986.5714285714,68128
4,0,1628,1293,1430,0,27,64,91,211600,172800,170160,140920,5967,44767,47407,76647
4,0,1420,1860,1728,0,24,52,78,236800,220833.333333333,213600,171160,1871,17837.666666667,25071,67511
4,0,2003,1087,1406,0,26,65,79,161660,145840,138180,126900,8794,24614,32274,43554
4,0,1465,1288,1551,0,27,53,62,130700,104340,92400,80700,3202,29562,41502,53202
5,0,2046,2047,2222,0,25,42,53,148200,133980,118440,82620,6373,20593,36133,71953
5,0,1419,1659,2030,0,26,44,68,167580,128760,121360,84620,1374,40194,47594,84334
5,0,1542,2073,1740,0,28,50,78,270460,242000,205800,193200,7979,36439,72639,85239
5,0,1488,2456,2127,0,20,27,56,228000,223600,185160,168380,7000,11400,49840,66620
5,0,1921,2108,1675,0,24,36,65,173900,150700,116220,107900,NA,NA,NA,NA
5,0,1191,1669,1449,0,28,67,91,213340,176700,160440,123900,NA,NA,NA,NA
