Grid;Lat/Lon hddd°mm.mmm';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;WGS 84;Supposed Vent;780000;10005500;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;;;
Name;Position;;Position UTM WGS84;;Distance Vent;Altitude;Thickness;Mass/area;Size -7 phi;Size -6 phi;Size - 5 phi;Size - 4 phi;Size - 3 phi;Size - 2 phi;Size - 1 phi;Size 0 phi;Size 1 phi;Size 2 phi;Size 3 phi;Size 4 phi;Size 5 phi;Size 6 phi;Size 7 phi;Size 8 phi;Size 9 phi;Size 10 phi;Size 11 phi;total;Md(phi);Sorting;SkG
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PL01;-78.487794;-0.089673;779636;9990079;15.42529536;2399;7.0;70.0;0.0000;0.0000;2.1125;9.8187;10.5716;12.9225;13.8174;14.9903;17.7355;12.2024;3.8417;0.6962;0.4472;0.4861;0.2457;0.0894;0.0185;0.0039;0.0003;100.0000;-0.95;2.39;-0.11
PL02;-78.47317;-0.065829;781265;9992717;12.84543942;2501;10.0;100.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL03;-78.449631;-0.030642;783887;9996610;9.702621759;2390;17.0;170.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL04;-78.437727;-0.030659;785213;9996608;10.30742611;2446;15.0;150.0;0.0000;0.0000;2.9524;8.9745;12.5228;18.5630;15.8724;13.9313;14.7296;8.7418;2.8048;0.2947;0.2506;0.2158;0.0964;0.0393;0.0085;0.0018;0.0004;100.0000;-1.56;2.22;0.05
PL05;-78.473988;0.007482;781174;10000828;4.817246101;2637;29.0;290.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL06;-78.476305;0.003921;780916;10000434;5.148146463;2637;22.0;220.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL07;-78.530604;-0.002912;774868;9999678;7.760999162;2760;23.5;235.0;0.0000;7.0853;10.7979;10.5995;13.3821;12.9371;11.8958;10.9171;11.4488;7.3134;2.3407;0.5583;0.2636;0.2613;0.1328;0.0509;0.0127;0.0025;0.0001;100.0000;-2.37;2.87;0.02
PL08;-78.436066;-0.018368;785398;9997968;9.266575851;2455;18.0;180.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL09;-78.477104;-0.001276;780827;9999859;5.701298975;2683;27.5;275.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL10;-78.434594;0.002041;785562;10000226;7.664914872;2361;17.5;175.0;0.0000;0.0000;3.4276;14.4473;14.9461;16.5799;13.8799;12.0905;12.8785;8.3009;2.7240;0.3546;0.1335;0.1408;0.0657;0.0238;0.0056;0.0012;0.0001;100.0000;-1.96;2.4;0.09
PL11;-78.439028;0.032237;785068;10003567;5.424123247;2738;17.0;170.0;0.0000;0.0000;5.2455;11.5143;13.7305;14.5213;13.6366;12.9039;15.0825;9.6498;2.8943;0.2635;0.1957;0.2216;0.0918;0.0386;0.0083;0.0016;0.0002;99.9999;-1.63;2.45;0.01
PL12;-78.447673;0.06379;784105;10007058;4.390716229;2358;16.5;165.0;0.0000;0.0000;8.8830;12.0310;12.3039;12.4040;13.2840;12.4133;13.3175;9.7525;3.6356;0.5776;0.5390;0.5602;0.1992;0.0791;0.0167;0.0032;0.0003;100.0000;-1.67;2.68;-0.02
PL13;-78.43548;0.085481;785463;10009458;6.746119848;1934;14.0;140.0;0.0000;0.0000;2.8661;8.5053;7.6263;10.7401;12.9359;14.7791;19.7586;15.5161;4.8884;0.6508;0.5656;0.6777;0.3046;0.1448;0.0334;0.0066;0.0004;100.0000;-0.5;2.42;-0.2
PL15;-78.413411;0.104179;787921;10011527;9.953239171;1936;10.0;100.0;0.0000;0.0000;0.0000;1.1256;4.2572;7.3288;11.1630;17.6757;26.1109;22.9343;8.1364;0.6297;0.2411;0.2252;0.1076;0.0520;0.0104;0.0018;0.0001;100.0000;0.32;1.71;-0.19
PL16;-78.410809;0.083283;788211;10009215;9.012310802;2077;10.0;100.0;0.0000;0.0000;0.0000;1.5685;6.0481;10.8486;15.9756;18.2326;22.1933;17.9439;5.6197;0.4273;0.4303;0.4045;0.1956;0.0916;0.0174;0.0026;0.0002;100.0000;-0.15;1.87;-0.11
PL17;-78.407112;0.06001;788623;10009940;9.698955047;2109;12.0;120.0;0.0000;0.0000;0.0000;6.3379;10.4515;13.2459;15.1343;16.1617;17.3105;14.1304;4.9077;0.5531;0.7333;0.5633;0.2820;0.1468;0.0345;0.0065;0.0007;100.0000;-0.7;2.23;-0.07
PL18;-78.397759;0.01707;789665;10001889;10.31753585;2075;11.0;110.0;0.0000;0.0000;8.8340;9.7250;9.1837;10.9630;14.8998;15.5123;13.6636;11.7611;3.9082;0.4841;0.4015;0.3810;0.1684;0.0876;0.0222;0.0042;0.0003;100.0000;-1.24;2.68;-0.13
PL19;-78.385918;-0.011236;790984;9998757;12.88861145;2270;8.0;80.0;0.0000;0.0000;0.0000;3.6617;6.3571;11.9428;16.7318;17.7913;22.9014;14.5139;4.4837;0.3338;0.4841;0.4589;0.2108;0.1012;0.0239;0.0036;0.0001;100.0000;-0.36;1.91;-0.12
PL20;-78.343994;-0.05091;795653;9994367;19.20833408;2185;2.5;25.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL21;-78.331507;-0.062686;797044;9993064;21.09862631;2222;2.0;20.0;0.0000;0.0000;0.0000;0.0000;0.0000;1.9973;6.6577;15.1878;26.0793;28.1806;11.4220;2.2574;2.1876;3.3890;1.8059;0.6745;0.1368;0.0231;0.0011;99.9999;1;1.52;0
PL22;-78.411428;-0.09773;788142;9989187;18.23200847;2465;3.0;30.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL23;-78.37755;-0.060347;791915;9993323;17.0366239;2088;4.0;40.0;0.0000;0.0000;0.0000;2.0798;4.1597;8.5002;14.2877;20.1429;26.2538;16.7793;5.8583;0.2965;0.5827;0.6311;0.2688;0.1239;0.0300;0.0051;0.0002;100.0000;0.03;1.71;-0.14
PL24;-78.346201;-0.071281;795407;9992113;20.41047324;2192;3.0;30.0;0.0000;0.0000;0.0000;0.0000;0.3547;3.1079;9.3500;19.6196;31.6889;23.6231;6.8580;0.8828;1.0506;2.0036;0.9569;0.3980;0.0873;0.0170;0.0016;99.9999;0.55;1.34;-0.04
PL25;-78.304236;-0.050574;800083;9994404;22.94445696;2331;2;20.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL26;-78.321067;-0.052355;798207;9994207;21.42490835;2266;1.5;15.0;0.0000;0.0000;0.0000;0.0000;0.0000;2.5547;5.6569;14.0511;29.3859;30.0112;11.8794;1.6464;1.2840;2.1390;0.9893;0.3356;0.0576;0.0084;0.0004;99.9999;0.94;1.32;-0.05
PL27;-78.336499;-0.034408;796488;9996193;18.93342;1999;3.0;30.0;0.0000;0.0000;0.0000;0.0000;0.5409;1.8931;7.1216;17.4434;30.9630;27.9213;9.0471;1.2479;1.2366;1.5001;0.6903;0.3125;0.0684;0.0130;0.0007;100.0000;0.74;1.28;-0.07
PL28;-78.356859;-0.013161;794220;9998544;15.8301717;2285;7.0;70.0;0.0000;0.0000;0.0000;0.0000;3.9302;7.3195;11.8266;20.0115;27.5816;19.9543;6.6643;0.3929;0.7497;0.9467;0.4010;0.1755;0.0395;0.0062;0.0004;100.0000;0.25;1.63;-0.13
